"id","ENA_UNIT","dat_...units.","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","id.1","ENA_UNIT.1","dat_...units..1","V1.1","V2.1","V3.1","V4.1","V5.1","V6.1","V7.1","V8.1","V9.1","V10.1","V11.1","V12.1","V13.1","V14.1","V15.1","V16.1","V17.1","V18.1","V19.1","V20.1","V21.1","V22.1","V23.1","V24.1","V25.1","V26.1","V27.1","V28.1","id.2","ENA_UNIT.2","dat_...units..2","V1.2","V2.2","V3.2","V4.2","V5.2","V6.2","V7.2","V8.2","V9.2","V10.2","V11.2","V12.2","V13.2","V14.2","V15.2","V16.2","V17.2","V18.2","V19.2","V20.2","V21.2","V22.2","V23.2","V24.2","V25.2","V26.2","V27.2","V28.2","id.3","ENA_UNIT.3","dat_...units..3","V1.3","V2.3","V3.3","V4.3","V5.3","V6.3","V7.3","V8.3","V9.3","V10.3","V11.3","V12.3","V13.3","V14.3","V15.3","V16.3","V17.3","V18.3","V19.3","V20.3","V21.3","V22.3","V23.3","V24.3","V25.3","V26.3","V27.3","V28.3","id.4","ENA_UNIT.4","dat_...units..4","V1.4","V2.4","V3.4","V4.4","V5.4","V6.4","V7.4","V8.4","V9.4","V10.4","V11.4","V12.4","V13.4","V14.4","V15.4","V16.4","V17.4","V18.4","V19.4","V20.4","V21.4","V22.4","V23.4","V24.4","V25.4","V26.4","V27.4","V28.4"
"2","5",5,0.301511344577764,0,0,0.301511344577764,0,0,0,0,0,0.904534033733291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2","5",5,0,0,0,0.707106781186547,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2","5",5,0.447213595499958,0,0,0,0,0,0,0,0,0.894427190999916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2","5",5,0.666666666666667,0,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2","5",5,0.87287156094397,0,0,0.436435780471985,0,0,0,0,0,0.218217890235992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"3","1",1,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,"3","1",1,0,0,0,0,0,0,0,0,0,0,0.811107105653813,0,0,0,0,0,0,0,0,0,0,0.486664263392288,0,0,0.324442842261525,0,0,0,"3","1",1,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0.333333333333333,0,0,0,"3","1",1,0,0,0,0,0,0,0,0,0,0,0.447213595499958,0,0,0,0,0,0,0,0,0,0,0,0,0,0.894427190999916,0,0,0
"3","2",2,0.0688428390821514,0.275371356328606,0,0,0,0,0,0,0,0,0.275371356328606,0,0,0,0,0,0,0,0,0,0,0.894956908067969,0,0.206528517246454,0,0,0,0,"3","2",2,0.2,0.2,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0.9,0,0.3,0,0,0,0,"3","2",2,0.196959649289584,0.196959649289584,0,0,0,0,0,0,0.131306432859723,0,0.196959649289584,0,0,0,0.131306432859723,0,0,0,0,0,0,0.919145030018058,0,0.0656532164298613,0,0,0,0,"3","2",2,0.131306432859723,0,0,0,0,0,0,0,0.131306432859723,0,0.52522573143889,0,0,0,0.262612865719445,0,0,0,0,0,0,0.787838597158335,0,0,0,0,0,0,"3","2",2,0.28347335475692,0.28347335475692,0,0,0,0,0,0,0.28347335475692,0,0.377964473009227,0,0,0,0.188982236504614,0,0,0,0,0,0,0.755928946018454,0,0.0944911182523068,0,0,0,0
"3","3",3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3","3",3,0,0.656532164298613,0,0,0,0,0,0.52522573143889,0,0,0,0,0,0.131306432859723,0,0,0,0,0,0,0,0.52522573143889,0,0,0,0,0,0,"3","3",3,0,0.670820393249937,0,0,0,0,0,0.223606797749979,0,0,0,0,0,0.670820393249937,0,0,0,0,0,0,0,0.223606797749979,0,0,0,0,0,0,"3","3",3,0,0.816496580927726,0,0,0,0,0,0,0,0,0,0,0,0.408248290463863,0,0,0,0,0,0,0,0.408248290463863,0,0,0,0,0,0,"3","3",3,0,0.419313934688767,0,0,0,0,0,0.524142418360959,0,0,0,0,0,0.733799385705343,0,0,0,0,0,0,0,0.104828483672192,0,0,0,0,0,0
"3","4",4,0.398014876083996,0,0,0,0,0,0.199007438041998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89553347118899,0,0,0,0,0,0,"3","4",4,0.639602149066831,0,0,0,0,0,0.426401432711221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639602149066831,0,0,0,0,0,0,"3","4",4,0.188982236504614,0,0,0,0,0,0.188982236504614,0,0,0,0,0,0,0,0,0.188982236504614,0,0,0,0,0,0.944911182523068,0,0,0,0,0,0,"3","4",4,0.122169444356305,0,0,0,0,0,0.122169444356305,0,0,0,0,0,0,0,0,0.122169444356305,0,0,0,0,0,0.977355554850442,0,0,0,0,0,0,"3","4",4,0.0890870806374748,0,0,0,0,0,0.356348322549899,0,0,0,0,0,0,0,0,0.267261241912424,0,0,0,0,0,0.890870806374748,0,0,0,0,0,0
"3","5",5,0,0,0,0.316227766016838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948683298050514,0,0,0,0,0,0,"3","5",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"3","5",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447213595499958,0,0,0.894427190999916,0,0,0,0,0,0,"3","5",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"3","5",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0.707106781186547,0,0,0,0,0,0
"4","1",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","1",1,0,0.894427190999916,0,0,0,0,0,0,0.447213595499958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","1",1,0,0.894427190999916,0,0,0,0,0,0,0.447213595499958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","1",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2",2,0,0,0,0,0,0,0,0,0,0,0.50709255283711,0.169030850945703,0.338061701891407,0,0,0.169030850945703,0,0.338061701891407,0,0,0,0.676123403782813,0,0,0,0,0,0,"4","2",2,0,0,0,0,0,0,0,0,0,0,0,0.148658829249433,0.148658829249433,0,0,0.148658829249433,0,0,0,0,0,0.966282390121316,0,0,0,0,0,0,"4","2",2,0,0,0,0,0,0.182574185835055,0,0,0,0,0.365148371670111,0.182574185835055,0.365148371670111,0.365148371670111,0,0,0,0,0,0,0,0.730296743340221,0,0,0,0,0,0,"4","2",2,0,0,0,0,0,0,0,0,0,0,0,0.222565953629863,0.222565953629863,0.0556414884074657,0,0,0,0.0556414884074657,0,0,0,0.945905302926917,0,0,0,0,0,0,"4","2",2,0,0,0,0,0,0.214422506967559,0,0,0,0,0.107211253483779,0,0,0,0,0,0,0.107211253483779,0,0,0,0.964901281354015,0,0,0,0,0,0
"4","3",3,0.182574185835055,0,0,0,0,0,0,0,0,0,0,0,0.365148371670111,0,0,0,0,0,0,0,0,0.547722557505166,0.730296743340221,0,0,0,0,0,"4","3",3,0.149071198499986,0,0,0,0,0,0,0,0,0,0,0,0.447213595499958,0,0,0.447213595499958,0,0,0,0,0,0.74535599249993,0.149071198499986,0,0,0,0,0,"4","3",3,0.514495755427526,0,0,0,0,0,0,0,0,0,0,0,0.685994340570035,0,0,0.342997170285018,0,0,0,0,0,0.171498585142509,0.342997170285018,0,0,0,0,0,"4","3",3,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,"4","3",3,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.5,0,0,0,0,0,0.75,0.25,0,0,0,0,0
"4","4",4,0,0,0.192450089729875,0,0,0,0,0,0,0,0.192450089729875,0,0,0,0,0,0,0,0,0,0,0.962250448649376,0,0,0,0,0,0,"4","4",4,0,0,0,0,0,0,0,0,0,0,0.624695047554424,0,0,0,0,0,0,0,0,0,0,0.78086880944303,0,0,0,0,0,0,"4","4",4,0,0,0.301511344577764,0,0,0,0,0,0,0,0.904534033733291,0,0,0,0,0,0,0,0,0,0,0.301511344577764,0,0,0,0,0,0,"4","4",4,0,0,0.942809041582063,0,0,0,0,0,0,0,0.235702260395516,0,0,0,0,0,0,0,0,0,0,0.235702260395516,0,0,0,0,0,0,"4","4",4,0,0,0,0,0,0,0,0,0,0,0.832050294337844,0,0,0,0,0,0,0,0,0,0,0.554700196225229,0,0,0,0,0,0
